X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
83.734605,28.357585,0,0,0,2054.9,2017/07/08 00:15:42+00,,,,,,,,,,,,,,,,,,,,,
83.734496,28.357627,0,0,1,2059.1,2017/07/08 00:15:57+00,,,,,,,,,,,,,,,,,,,,,
83.734448,28.357689,0,0,2,2061.5,2017/07/08 00:16:12+00,,,,,,,,,,,,,,,,,,,,,
83.734416,28.357759,0,0,3,2063.4,2017/07/08 00:16:30+00,,,,,,,,,,,,,,,,,,,,,
83.734401,28.3578,0,0,4,2063.9,2017/07/08 00:16:44+00,,,,,,,,,,,,,,,,,,,,,
83.734403,28.357855,0,0,5,2064.4,2017/07/08 00:16:58+00,,,,,,,,,,,,,,,,,,,,,
83.734393,28.357877,0,0,6,2064.5,2017/07/08 00:17:03+00,,,,,,,,,,,,,,,,,,,,,
83.734372,28.35797,0,0,7,2065.3,2017/07/08 00:17:17+00,,,,,,,,,,,,,,,,,,,,,
83.734373,28.357979,0,0,8,2065.4,2017/07/08 00:17:18+00,,,,,,,,,,,,,,,,,,,,,
83.734368,28.358086,0,0,9,2066.3,2017/07/08 00:17:30+00,,,,,,,,,,,,,,,,,,,,,
83.734367,28.35817,0,0,10,2067.2,2017/07/08 00:17:42+00,,,,,,,,,,,,,,,,,,,,,
83.734352,28.358212,0,0,11,2068,2017/07/08 00:17:56+00,,,,,,,,,,,,,,,,,,,,,
83.734336,28.358269,0,0,12,2069.1,2017/07/08 00:18:10+00,,,,,,,,,,,,,,,,,,,,,
83.734296,28.358316,0,0,13,2070.6,2017/07/08 00:18:21+00,,,,,,,,,,,,,,,,,,,,,
83.734266,28.358404,0,0,14,2073.9,2017/07/08 00:18:35+00,,,,,,,,,,,,,,,,,,,,,
83.734253,28.358482,0,0,15,2075.2,2017/07/08 00:18:48+00,,,,,,,,,,,,,,,,,,,,,
83.734207,28.358558,0,0,16,2076.8,2017/07/08 00:19:01+00,,,,,,,,,,,,,,,,,,,,,
83.734149,28.358631,0,0,17,2077.4,2017/07/08 00:19:13+00,,,,,,,,,,,,,,,,,,,,,
83.734164,28.358716,0,0,18,2077.6,2017/07/08 00:19:28+00,,,,,,,,,,,,,,,,,,,,,
83.734093,28.358757,0,0,19,2079.5,2017/07/08 00:19:40+00,,,,,,,,,,,,,,,,,,,,,
