Zeitraum,Steps
2016-01,No Data awailable
2016-02,No Data awailable
2016-03,No Data awailable
2016-04,11944
2016-05,8381
2016-06,8919
2016-07,8642
2016-08,6583
2016-09,8834
2016-10,6694
2016-11,8608
2016-12,7199
2017-01,7586
2017-02,7028
2017-03,8102
2017-04,8574
2017-05,7118
2017-06,6718
2017-07,8507
2017-08,7214
2017-09,7651
2017-10,7498
2017-11,6992
2017-12,8109
2018-01,7360
2018-02,7488
2018-03,7247
2018-04,6368
2018-05,8796
2018-06,6642
2018-07,7200
2018-08,8093
2018-09,8327
2018-10,6823
2018-11,7168
2018-12,6417
2019-01,7832
2019-02,6388
2019-03,9422
2019-04,7109
2019-05,7267
2019-06,7724
2019-07,8869
2019-08,No Data awailable
2019-09,No Data awailable
2019-10,No Data awailable
2019-11,No Data awailable
2019-12,No Data awailable
2020-01,No Data awailable
2020-02,No Data awailable
2020-03,No Data awailable
2020-04,No Data awailable
2020-05,No Data awailable
2020-06,No Data awailable
2020-07,No Data awailable
2020-08,No Data awailable
2020-09,No Data awailable
2020-10,No Data awailable
2020-11,No Data awailable
2020-12,No Data awailable
2021-01,No Data awailable
2021-02,No Data awailable
2021-03,No Data awailable
2021-04,No Data awailable
2021-05,No Data awailable
2021-06,No Data awailable
2021-07,No Data awailable
2021-08,No Data awailable
2021-09,No Data awailable
2021-10,No Data awailable
2021-11,No Data awailable
2021-12,No Data awailable
2022-01,No Data awailable
2022-02,No Data awailable
2022-03,No Data awailable
2022-04,No Data awailable
2022-05,No Data awailable
2022-06,No Data awailable
2022-07,No Data awailable
2022-08,No Data awailable
2022-09,No Data awailable
2022-10,No Data awailable
2022-11,No Data awailable
2022-12,No Data awailable
2016,8259
2017,7597
2018,7328
2019,7820
2020,No Data awailable
2021,No Data awailable
2022,No Data awailable
Gesamt,7700
